date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,inSPY
2007-06-13,70.888,71.89,69.25,70.9,11917900,70.888,71.89,69.25,70.9,11917900,0.0,1.0,1
2007-06-14,71.94,72.12,70.8,70.9,8245300,71.94,72.12,70.8,70.9,8245300,0.0,1.0,1
2007-06-15,72.4,72.87,71.19,72.85,9833200,72.4,72.87,71.19,72.85,9833200,0.0,1.0,1
2007-06-18,71.83,72.64,71.4,72.34,7813600,71.83,72.64,71.4,72.34,7813600,0.0,1.0,1
2007-06-19,69.81,71.66,69.68,71.55,11871000,69.81,71.66,69.68,71.55,11871000,0.0,1.0,1
2007-06-20,69.1,70.5,69.05,70.25,9172600,69.1,70.5,69.05,70.25,9172600,0.0,1.0,1
2007-06-21,69.67,69.77,68.66,69.16,7609700,69.67,69.77,68.66,69.16,7609700,0.0,1.0,1
2007-06-22,68.86,69.88,68.42,69.55,8382600,68.86,69.88,68.42,69.55,8382600,0.0,1.0,1
2007-06-25,68.66,69.63,68.3,69.35,7593500,68.66,69.63,68.3,69.35,7593500,0.0,1.0,1
2007-06-26,67.48,68.63,67.38,68.53,11247800,67.48,68.63,67.38,68.53,11247800,0.0,1.0,1
2007-06-27,68.14,68.21,66.71,66.96,8242900,68.14,68.21,66.71,66.96,8242900,0.0,1.0,1
2007-06-28,68.89,70.23,68.15,68.46,9782200,68.89,70.23,68.15,68.46,9782200,0.0,1.0,1
2007-06-29,68.41,69.19,68.15,69.03,5316600,68.41,69.19,68.15,69.03,5316600,0.0,1.0,1
2007-07-02,69.61,69.71,68.2,68.81,4906100,69.61,69.71,68.2,68.81,4906100,0.0,1.0,1
2007-07-03,69.45,70.05,69.02,70.04,2223500,69.45,70.05,69.02,70.04,2223500,0.0,1.0,1
2007-07-05,68.73,69.65,68.06,69.36,4487900,68.73,69.65,68.06,69.36,4487900,0.0,1.0,1
2007-07-06,68.97,69.3,68.01,68.75,4615300,68.97,69.3,68.01,68.75,4615300,0.0,1.0,1
2007-07-09,72.0699,72.35,69.02,69.38,14816900,72.0699,72.35,69.02,69.38,14816900,0.0,1.0,1
2007-07-10,70.28,71.94,70.07,71.65,8885400,70.28,71.94,70.07,71.65,8885400,0.0,1.0,1
2007-07-11,70.73,71.65,70.15,70.58,6593600,70.73,71.65,70.15,70.58,6593600,0.0,1.0,1
2007-07-12,72.79,73.57,70.73,71.31,11451600,72.79,73.57,70.73,71.31,11451600,0.0,1.0,1
2007-07-13,75.1,75.35,72.97,73.08,12502000,75.1,75.35,72.97,73.08,12502000,0.0,1.0,1
2007-07-16,73.69,74.84,73.0,74.73,8334900,73.69,74.84,73.0,74.73,8334900,0.0,1.0,1
2007-07-17,73.79,74.52,73.59,74.39,6084400,73.79,74.52,73.59,74.39,6084400,0.0,1.0,1
2007-07-18,73.32,73.49,72.25,73.27,6289700,73.32,73.49,72.25,73.27,6289700,0.0,1.0,1
2007-07-19,73.35,74.32,73.12,74.24,5273500,73.35,74.32,73.12,74.24,5273500,0.0,1.0,1
2007-07-20,71.63,72.96,70.5,72.62,9130700,71.63,72.96,70.5,72.62,9130700,0.0,1.0,1
