date,amount,price,sid,symbol,value
2010-06-04 23:59:59.999989+00:00,792,38.69240691185309,9,XLE,-30644.386274187647
2010-06-07 23:59:59.999989+00:00,-492,18.161466352,0,XLK,8935.441445184
2010-06-07 23:59:59.999989+00:00,-492,27.0942538615,1,XLY,13330.372899858
2010-06-07 23:59:59.999989+00:00,-492,22.9804668734,3,XLB,11306.3897017128
2010-06-07 23:59:59.999989+00:00,-492,23.7030965988,4,XLV,11661.923526609598
2010-06-07 23:59:59.999989+00:00,-492,22.8745342822,5,XLI,11254.2708668424
2010-06-07 23:59:59.999989+00:00,-492,37.510968585,9,XLE,18455.39654382
2010-06-08 23:59:59.999989+00:00,492,26.349955870517004,1,XLY,-12964.178288294366
2010-06-08 23:59:59.999989+00:00,492,22.171580415517003,5,XLI,-10908.417564434365
2010-06-09 23:59:59.999989+00:00,-746,26.9911685583,1,XLY,20135.4117444918
2010-06-09 23:59:59.999989+00:00,492,23.44943374205533,3,XLB,-11537.121401091223
2010-06-09 23:59:59.999989+00:00,-746,22.6973371857,5,XLI,16932.2135405322
2010-06-09 23:59:59.999989+00:00,492,38.0255123967,9,XLE,-18708.552099176402
2010-06-10 23:59:59.999989+00:00,746,27.24115696208147,1,XLY,-20321.903093712775
2010-06-10 23:59:59.999989+00:00,-773,23.5326923046,3,XLB,18190.7711514558
2010-06-10 23:59:59.999989+00:00,746,23.000462339781468,5,XLI,-17158.344905476974
2010-06-10 23:59:59.999989+00:00,-773,38.2501723709,9,XLE,29567.383242705702
2010-06-11 23:59:59.999989+00:00,773,23.6746931298,3,XLB,-18300.5377893354
2010-06-11 23:59:59.999989+00:00,492,24.154597162055328,4,XLV,-11884.061803731222
2010-06-11 23:59:59.999989+00:00,773,38.5762916882,9,XLE,-29819.4734749786
2010-06-14 23:59:59.999989+00:00,492,18.55342143375533,0,XLK,-9128.283345407623
2010-06-14 23:59:59.999989+00:00,430,20.0519876054,7,XLU,-8622.354670322
2010-06-25 23:59:59.999989+00:00,-601,18.3103142087,0,XLK,11004.4988394287
2010-06-25 23:59:59.999989+00:00,-601,26.5271539297,1,XLY,15942.8195117497
2010-06-25 23:59:59.999989+00:00,-601,23.596633102,3,XLB,14181.576494301999
2010-06-25 23:59:59.999989+00:00,-601,24.1251485537,4,XLV,14499.2142807737
2010-06-25 23:59:59.999989+00:00,-601,23.278045513,5,XLI,13990.105353313
2010-06-25 23:59:59.999989+00:00,-601,19.8561305863,7,XLU,11933.5344823663
2010-06-25 23:59:59.999989+00:00,-601,38.1611338204,9,XLE,22934.8414260604
2010-06-28 23:59:59.999989+00:00,601,23.865927155429105,3,XLB,-14343.422220412893
2010-06-29 23:59:59.999989+00:00,601,17.653699287506345,0,XLK,-10609.873271791314
2010-06-29 23:59:59.999989+00:00,601,25.928877277206347,1,XLY,-15583.255243601014
2010-06-29 23:59:59.999989+00:00,-1186,23.1212140334,3,XLB,27421.759843612403
2010-06-29 23:59:59.999989+00:00,601,22.682915335006346,5,XLI,-13632.432116338814
2010-06-29 23:59:59.999989+00:00,601,37.1637901856,9,XLE,-22335.4379015456
2010-06-30 23:59:59.999989+00:00,-818,17.4637902046,0,XLK,14285.380387362799
2010-06-30 23:59:59.999989+00:00,-818,25.3809188833,1,XLY,20761.5916465394
2010-06-30 23:59:59.999989+00:00,1186,22.6854132206,3,XLB,-26904.9000796316
2010-06-30 23:59:59.999989+00:00,601,23.578581753006347,4,XLV,-14170.727633556815
2010-06-30 23:59:59.999989+00:00,-818,22.3067779672,5,XLI,18246.9443771696
2010-06-30 23:59:59.999989+00:00,-818,36.3921228478,9,XLE,29768.756489500403
2010-07-01 23:59:59.999989+00:00,818,24.810022346134172,1,XLY,-20294.598279137754
2010-07-01 23:59:59.999989+00:00,-1031,22.4556273375,3,XLB,23151.7517849625
2010-07-01 23:59:59.999989+00:00,-1031,23.5153369733,4,XLV,24244.3124194723
2010-07-01 23:59:59.999989+00:00,818,21.74187767663417,5,XLI,-17784.85593948675
2010-07-01 23:59:59.999989+00:00,608,19.156741752122947,6,XLP,-11647.298985290752
2010-07-01 23:59:59.999989+00:00,601,19.254388709306347,7,XLU,-11571.887614293115
2010-07-01 23:59:59.999989+00:00,357,9.193780476897317,8,XLF,-3282.179630252342
2010-07-01 23:59:59.999989+00:00,818,35.84499212043417,9,XLE,-29321.203554515152
2010-07-02 23:59:59.999989+00:00,-786,25.3723005747,1,XLY,19942.6282517142
2010-07-02 23:59:59.999989+00:00,-786,21.9911160149,5,XLI,17285.0171877114
2010-07-02 23:59:59.999989+00:00,-786,19.3632608191,6,XLP,15219.5230038126
2010-07-02 23:59:59.999989+00:00,-786,19.4354206295,7,XLU,15276.240614787
2010-07-02 23:59:59.999989+00:00,-786,9.2707866534,8,XLF,7286.8383095724
2010-07-02 23:59:59.999989+00:00,-786,36.261084998,9,XLE,28501.212808428
2010-07-06 23:59:59.999989+00:00,786,36.5741198614,9,XLE,-28747.2582110604
2010-07-07 23:59:59.999989+00:00,786,25.720255778211836,1,XLY,-20216.1210416745
2010-07-07 23:59:59.999989+00:00,1031,22.880952594980474,3,XLB,-23590.26212542487
2010-07-07 23:59:59.999989+00:00,1031,23.958659193780473,4,XLV,-24701.377628787668
2010-07-07 23:59:59.999989+00:00,786,22.545089510511836,5,XLI,-17720.440355262304
2010-07-07 23:59:59.999989+00:00,786,19.733725314111837,6,XLP,-15510.708096891904
2010-07-07 23:59:59.999989+00:00,786,19.809219570611837,7,XLU,-15570.046582500905
2010-07-07 23:59:59.999989+00:00,-1199,36.4867612949,9,XLE,43747.6267925851
2010-07-08 23:59:59.999989+00:00,818,18.0817527276,0,XLK,-14790.873731176802
2010-07-08 23:59:59.999989+00:00,-770,25.9928187953,1,XLY,20014.470472381
2010-07-08 23:59:59.999989+00:00,-770,23.3272289631,3,XLB,17961.966301587003
2010-07-08 23:59:59.999989+00:00,-770,24.075027054,4,XLV,18537.77083158
2010-07-08 23:59:59.999989+00:00,-770,22.8409751174,5,XLI,17587.550840398
2010-07-08 23:59:59.999989+00:00,-770,19.8775974346,6,XLP,15305.750024641999
2010-07-08 23:59:59.999989+00:00,-770,20.3182218504,7,XLU,15645.030824808
2010-07-08 23:59:59.999989+00:00,786,9.6677216407,8,XLF,-7598.8292095902
2010-07-08 23:59:59.999989+00:00,1199,38.0155362095,9,XLE,-45580.6279151905
2010-07-09 23:59:59.999989+00:00,-998,18.0013329472,0,XLK,17965.330281305603
2010-07-09 23:59:59.999989+00:00,770,26.153898726947688,1,XLY,-20138.502019749718
2010-07-09 23:59:59.999989+00:00,770,23.556690525947687,3,XLB,-18138.65170497972
2010-07-09 23:59:59.999989+00:00,770,23.082538590947685,5,XLI,-17773.554715029717
2010-07-09 23:59:59.999989+00:00,-998,9.5937168126,8,XLF,9574.529378974801
2010-07-09 23:59:59.999989+00:00,-998,38.0737752538,9,XLE,37997.627703292404
2010-07-13 23:59:59.999989+00:00,998,18.41241121045516,0,XLK,-18375.58638803425
2010-07-13 23:59:59.999989+00:00,770,24.411120411247687,4,XLV,-18796.56271666072
2010-07-13 23:59:59.999989+00:00,770,20.240658575,6,XLP,-15585.307102750001
2010-07-13 23:59:59.999989+00:00,770,20.7251380382,7,XLU,-15958.356289414001
2010-07-13 23:59:59.999989+00:00,998,10.02573577405516,8,XLF,-10005.68430250705
2010-07-13 23:59:59.999989+00:00,998,38.7144047418,9,XLE,-38636.9759323164
2010-07-21 23:59:59.999989+00:00,497,18.5304104497,0,XLK,-9209.6139935009
2010-07-21 23:59:59.999989+00:00,497,26.6305736331,1,XLY,-13235.3950956507
2010-07-21 23:59:59.999989+00:00,497,24.6187840993,3,XLB,-12235.535697352101
2010-07-21 23:59:59.999989+00:00,497,23.991491221,4,XLV,-11923.771136837
2010-07-21 23:59:59.999989+00:00,497,23.39136006,5,XLI,-11625.50594982
2010-07-21 23:59:59.999989+00:00,497,20.4070615976,6,XLP,-10142.3096140072
2010-07-21 23:59:59.999989+00:00,497,20.966528997,7,XLU,-10420.364911509001
2010-07-21 23:59:59.999989+00:00,497,9.7753650271,8,XLF,-4858.356418468699
2010-07-22 23:59:59.999989+00:00,-497,24.921240019904378,3,XLB,12385.856289892476
2010-07-22 23:59:59.999989+00:00,-497,23.753289553004375,5,XLI,11805.384907843174
2010-07-23 23:59:59.999989+00:00,-497,27.040769801204377,1,XLY,13439.262591198576
2010-07-23 23:59:59.999989+00:00,157,24.8564936336,3,XLB,-3902.4695004751998
2010-07-23 23:59:59.999989+00:00,-497,23.63445206696375,4,XLV,11746.322677280983
2010-07-23 23:59:59.999989+00:00,157,23.8850877291,5,XLI,-3749.9587734687
2010-07-23 23:59:59.999989+00:00,157,38.8891218749,9,XLE,-6105.5921343593
2010-07-26 23:59:59.999989+00:00,227,27.2769467795,1,XLY,-6191.8669189465
2010-07-26 23:59:59.999989+00:00,-157,25.4190728647,3,XLB,3990.7944397579
